Age,Gender,Nationality,Living Status,Home Town,Relationship Status,Faculty,Education Level,Years of Study,Completed Credit Hours,CGPA,Number of Subjects Failed,SPM Result (A),SPM Result (B),SPM Result (C),Scholarship,PTPTN,Reason Study at Multimedia University,Lecture Class Capacity,Tutorial Class Capacity,Skipping Class,Classroom Facilities,Campus Environment,Additional Course,Family Size,Parent's Education Level.Father,Parent's Education Level.Mother,Father's Occupation,Mother's Occupation,Financial Difficulties,Financial Support,Study Behavior,Study Time,Extra Curricular Activities,Part-time Job,Commute Time,Gaming,Alcohol Consumption,I have enough free time after class,Social Interaction,I hang out with friends
21 - 23,Male,Malaysian,Friend or roommate,Urban,No,FIST,Bachelor's,2,71 - 100,Very Good,0,11,0,0,Yes,Yes,University reputation,Large,Large,None,Good,Moderate,No,MT3,Secondary,Secondary,Chef,Unemployed,No,Yes,Alone,Less than 2,No,No,Less than 10,Moderate,Non-drinker,3,3,4
21 - 23,Female,Malaysian,Friend or roommate,Urban,No,FCI,Bachelor's,2,40 - 70,Average,1 - 2,5,4,2,No,Yes,Course preference,Extra large,Medium,Less,Good,Moderate,No,MT3,Higher,Higher,Marketing ,Travel agent ,No,Yes,Group,2 - 5,Yes,No,10 - 30,Moderate,Less,2,4,2
18 - 20,Male,Malaysian,Friend or roommate,Urban,No,FCM,Bachelor's,2,40 - 70,Average,1 - 2,3,1,4,No,No,Close to home,Medium,Large,Less,Moderate,Moderate,No,MT3,Higher,Higher,Finance and banking,Unemployed,No,No,Alone,2 - 5,No,No,10 - 30,Heavy,Non-drinker,5,2,2
21 - 23,Male,Malaysian,Friend or roommate,Urban,No,FCI,Bachelor's,2,40 - 70,Very Good,0,6,4,0,No,Yes,Course preference,Large,Medium,Less,Good,Good,Yes,MT3,Higher,Higher,menufacturing,Finance and banking,No,No,Group,2 - 5,Yes,Yes,Less than 10,Light,Less,2,3,3
18 - 20,Male,Malaysian,Friend or roommate,Urban,Yes,FCI,Foundation,1,Less than 40,Low,3 - 4,1,4,1,No,Yes,far from home,Small,Medium,None,Poor,Moderate,No,MT3,Secondary,Secondary,part timer,Unemployed,Yes,Yes,Alone,2 - 5,Yes,No,Less than 10,Moderate,Non-drinker,2,2,2
18 - 20,Male,Malaysian,Friend or roommate,Urban,No,FOB,Bachelor's,1,Less than 40,Low,0,6,1,1,No,Yes,Family members study there,Extra large,Extra large,None,Poor,Good,No,MT3,Higher,Higher,Self-employed,Finance and banking,No,Yes,Alone,5 - 8,No,No,Less than 10,Moderate,Non-drinker,4,4,3
21 - 23,Female,Malaysian,Friend or roommate,Urban,No,FOL,Bachelor's,1,Less than 40,Very Good,0,4,1,2,No,No,University reputation,Medium,Small,Less,Good,Good,No,MT3,Higher,Higher,Self-employed,Self-employed,No,Yes,Alone,2 - 5,Yes,No,Less than 10,Non-gamer,Non-drinker,3,4,4
18 - 20,Female,Malaysian,Alone,Urban,Yes,FIST,Bachelor's,1,Less than 40,Very Good,0,8,3,0,No,Yes,University reputation,Medium,Medium,Sometimes,Moderate,Good,No,MT3,Higher,Higher,Finance and banking,Unemployed,No,Yes,Alone,Less than 2,Yes,Yes,Less than 10,Non-gamer,Non-drinker,5,4,4
21 - 23,Female,Malaysian,Family,Urban,No,FOB,Bachelor's,2,40 - 70,Very Good,0,2,5,2,No,Yes,Close to home,Extra large,Medium,None,Moderate,Good,No,LE3,Higher,Secondary,Engineer,Unemployed,No,No,Alone,5 - 8,Yes,No,10 - 30,Light,Non-drinker,2,4,3
18 - 20,Female,Malaysian,Family,Urban,Yes,FAC,Foundation,1,Less than 40,Very Good,0,3,2,1,No,No,Course preference,Medium,Medium,None,Good,Good,No,MT3,Higher,Higher,Civil servant,Unemployed,No,No,Alone,2 - 5,Yes,No,Less than 10,Light,Non-drinker,1,5,5
18 - 20,Female,Malaysian,Friend or roommate,Rural,No,FIST,Foundation,Less than 1,Less than 40,Very Good,0,10,0,0,No,Yes,Close to home,Medium,Medium,None,Good,Good,No,MT3,Higher,Higher,Self-employed,Education,No,No,Alone,2 - 5,Yes,No,Less than 10,Non-gamer,Non-drinker,2,3,2
18 - 20,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,1,40 - 70,Good,0,7,2,0,No,Yes,University reputation,Large,Medium,Sometimes,Poor,Moderate,No,MT3,Higher,Higher,Self-employed,Finance and banking,Yes,Yes,Alone,2 - 5,Yes,No,Less than 10,Heavy,Non-drinker,2,3,3
18 - 20,Female,Malaysian,Friend or roommate,Urban,No,FCM,Foundation,Less than 1,Less than 40,Very Good,0,6,2,1,No,No,Course preference,Extra large,Extra large,None,Good,Good,No,MT3,Higher,Higher,Engineer in Private Company ,Unemployed,No,Yes,Group,2 - 5,Yes,No,30 - 60,Non-gamer,Non-drinker,3,5,5
18 - 20,Male,Malaysian,Friend or roommate,Urban,No,FCM,Foundation,Less than 1,Less than 40,Very Good,0,5,5,0,No,No,Course preference,Medium,Medium,Less,Good,Good,No,MT3,Higher,Higher,Finance and banking,industrial,No,Yes,Group,2 - 5,Yes,No,Less than 10,Light,Less,3,3,4
18 - 20,Female,Malaysian,Friend or roommate,Urban,No,FOB,Foundation,1,Less than 40,Good,0,5,3,3,No,No,Close to home,Medium,Medium,None,Good,Good,No,MT3,Higher,Secondary,Technician ,Qc,No,No,Group,2 - 5,No,No,Less than 10,Non-gamer,Non-drinker,4,5,3
18 - 20,Female,Malaysian,Friend or roommate,Urban,Yes,FOB,Bachelor's,1,40 - 70,Good,0,0,6,2,No,Yes,University reputation,Medium,Medium,Less,Moderate,Good,No,MT3,Secondary,Secondary,Self-employed,Unemployed,No,Yes,Alone,2 - 5,Yes,Yes,More than 60,Light,Sometimes,3,3,3
18 - 20,Female,Malaysian,Family,Urban,No,FOB,Bachelor's,Less than 1,Less than 40,Good,1 - 2,1,4,1,No,Yes,Close to home,Medium,Small,None,Moderate,Moderate,No,LE3,Secondary,Higher,Unemployed,Education,No,Yes,Alone,Less than 2,No,Yes,Less than 10,Non-gamer,Non-drinker,3,2,1
21 - 23,Female,Malaysian,Alone,Urban,Yes,FOB,Diploma,2,Less than 40,Very Good,0,0,0,0,No,Yes,Close to home,Extra large,Extra large,Less,Moderate,Moderate,No,MT3,Primary,Secondary,Mechanical ,Self-employed,Yes,Yes,Alone,5 - 8,Yes,Yes,Less than 10,Non-gamer,Less,3,1,1
21 - 23,Male,Malaysian,Family,Urban,No,FCM,Diploma,2,40 - 70,Good,0,1,2,2,No,Yes,Course preference,Medium,Small,Less,Moderate,Moderate,No,MT3,Secondary,Secondary,Self-employed,Unemployed,No,Yes,Group,2 - 5,Yes,No,More than 60,Moderate,Less,4,3,3
18 - 20,Male,Malaysian,Family,Urban,No,FOB,Bachelor's,Less than 1,40 - 70,Very Good,0,2,4,3,No,Yes,Course preference,Small,Medium,None,Poor,Good,No,MT3,Early,Early,Civil servant,Civil servant,Yes,No,Group,Less than 2,No,Yes,10 - 30,Moderate,Non-drinker,2,3,3
21 - 23,Male,Malaysian,Friend or roommate,Urban,No,FIST,Bachelor's,1,40 - 70,Very Good,0,3,3,1,Yes,No,Course preference,Medium,Large,None,Moderate,Moderate,No,MT3,Higher,Higher,Self-employed,Education,No,Yes,Alone,2 - 5,Yes,No,Less than 10,Moderate,Less,5,5,4
21 - 23,Male,Malaysian,Alone,Rural,No,FOM,Diploma,2,71 - 100,Very Good,0,2,1,0,No,Yes,Close to home,Small,Small,None,Moderate,Moderate,No,MT3,Secondary,Secondary,Self-employed,Shopkeeper ,No,Yes,Alone,5 - 8,No,No,10 - 30,Non-gamer,Non-drinker,1,1,1
21 - 23,Male,Malaysian,Friend or roommate,Urban,Yes,FCM,Diploma,2,40 - 70,Average,0,1,4,2,No,No,Course preference,Medium,Large,Sometimes,Moderate,Poor,No,LE3,Higher,Higher,Self-employed,Civil servant,No,Yes,Group,Less than 2,No,Yes,Less than 10,Heavy,Less,3,4,4
18 - 20,Male,Malaysian,Family,Urban,No,FOM,Diploma,3,40 - 70,Good,3 - 4,2,5,2,No,No,University reputation,Medium,Medium,Sometimes,Good,Good,No,MT3,Higher,Higher,Self-employed,Unemployed,No,Yes,Group,2 - 5,No,No,10 - 30,Light,Non-drinker,2,2,2
18 - 20,Female,Malaysian,Family,Urban,No,FCM,Diploma,2,Less than 40,Good,0,2,2,3,No,No,Cheap,Small,Small,Less,Moderate,Moderate,Yes,MT3,Higher,Higher,Unemployed,Finance and banking,No,No,Group,Less than 2,Yes,Yes,Less than 10,Moderate,Less,3,2,1
18 - 20,Female,Malaysian,Alone,Urban,No,FIST,Diploma,2,40 - 70,Very Good,0,7,2,0,No,No,Course preference,Medium,Medium,None,Moderate,Moderate,No,MT3,Secondary,Secondary,Self-employed,Sales Clerk,No,Yes,Alone,2 - 5,Yes,No,Less than 10,Non-gamer,Non-drinker,3,3,2
18 - 20,Male,Malaysian,Family,Urban,No,FIST,Diploma,2,71 - 100,Good,1 - 2,3,4,1,No,No,Close to home,Large,Medium,Less,Good,Good,No,MT3,Higher,Higher,Finance and banking,Unemployed,No,Yes,Group,2 - 5,Yes,No,10 - 30,Moderate,Non-drinker,2,3,3
18 - 20,Female,Malaysian,Friend or roommate,Urban,Yes,FCI,Diploma,1,40 - 70,Very Good,0,3,5,2,No,No,Course preference,Large,Medium,Less,Moderate,Moderate,No,MT3,Secondary,Secondary,Self-employed,Self-employed,No,Yes,Alone,Less than 2,Yes,No,Less than 10,Moderate,Non-drinker,3,4,5
18 - 20,Male,Malaysian,Friend or roommate,Urban,No,FIST,Diploma,2,71 - 100,Average,0,2,3,3,No,Yes,Course preference,Medium,Medium,Less,Moderate,Moderate,No,MT3,Secondary,Higher,Unemployed,Unemployed,No,No,Alone,2 - 5,Yes,No,Less than 10,Light,Non-drinker,3,2,4
18 - 20,Male,Malaysian,Friend or roommate,Urban,No,FCM,Diploma,1,More than 100,Very Good,0,5,3,0,No,Yes,Course preference,Medium,Large,None,Good,Good,No,MT3,Higher,Higher,Civil servant,Civil servant,Yes,Yes,Alone,Less than 2,No,Yes,10 - 30,Moderate,Non-drinker,4,3,3
21 - 23,Female,Malaysian,Family,Urban,Yes,FOM,Bachelor's,3,40 - 70,Average,3 - 4,3,3,2,No,No,Course preference,Medium,Medium,Sometimes,Moderate,Moderate,Yes,MT3,Higher,Higher,Company secretary,Accountant,No,Yes,Alone,Less than 2,Yes,No,Less than 10,Non-gamer,Non-drinker,1,3,3
24 - 26,Male,Malaysian,Family,Urban,No,FCM,Bachelor's,3,40 - 70,Very Good,0,0,3,3,No,Yes,Course preference,Medium,Medium,None,Moderate,Good,Yes,MT3,Secondary,Secondary,Unemployed,Unemployed,Yes,Yes,Alone,2 - 5,No,No,More than 60,Light,Non-drinker,4,3,1
17 or below,Male,Malaysian,Family,Urban,No,FOM,Diploma,Less than 1,Less than 40,Very Good,0,0,0,0,No,No,Close to home,Large,Medium,Often,Poor,Poor,Yes,MT3,Higher,Higher,Finance and banking,Finance and banking,No,Yes,Alone,2 - 5,Yes,No,10 - 30,Light,Non-drinker,2,5,1
21 - 23,Female,Malaysian,Family,Urban,No,FOB,Bachelor's,3,71 - 100,Very Good,0,6,3,1,No,Yes,Close to home,Medium,Small,Less,Moderate,Moderate,Yes,MT3,Higher,Higher,Finance and banking,Unemployed,No,Yes,Group,Less than 2,Yes,Yes,10 - 30,Light,Non-drinker,5,4,4
21 - 23,Female,Malaysian,Family,Urban,Yes,FOM,Bachelor's,3,71 - 100,Good,0,5,4,0,No,No,Close to home,Medium,Small,Less,Good,Good,No,MT3,Secondary,Secondary,Self-employed,Self-employed,Yes,Yes,Group,Less than 2,No,No,10 - 30,Non-gamer,Non-drinker,4,2,2
18 - 20,Male,Malaysian,Friend or roommate,Rural,No,FIST,Diploma,1,Less than 40,Good,0,3,6,1,No,Yes,Close to home,Medium,Medium,None,Good,Good,No,MT3,Secondary,Secondary,Self-employed,no,Yes,Yes,Alone,Less than 2,No,No,30 - 60,Heavy,Non-drinker,4,3,3
21 - 23,Female,Malaysian,Family,Urban,No,FAC,Bachelor's,2,40 - 70,Very Good,0,2,5,1,No,Yes,Course preference,Small,Medium,Less,Moderate,Good,No,MT3,Higher,Higher,Self-employed,Civil servant,No,Yes,Alone,2 - 5,No,Yes,30 - 60,Light,Non-drinker,3,4,4
18 - 20,Male,Malaysian,Family,Urban,No,FIST,Diploma,Less than 1,Less than 40,Low,1 - 2,1,4,1,No,No,Close to home,Medium,Medium,None,Moderate,Moderate,No,MT3,Higher,Higher,Self-employed,Self-employed,No,Yes,Group,Less than 2,Yes,Yes,More than 60,Light,Sometimes,3,3,3
21 - 23,Female,Malaysian,Family,Urban,No,FCI,Bachelor's,1,40 - 70,Good,0,9,1,0,No,No,Course preference,Medium,Medium,None,Poor,Poor,No,MT3,Secondary,Secondary,Self-employed,Self-employed,No,Yes,Group,Less than 2,Yes,No,More than 60,Moderate,Sometimes,3,4,3
24 - 26,Male,Malaysian,Family,Urban,No,FCM,Diploma,1,40 - 70,Good,3 - 4,0,2,1,No,No,Course preference,Medium,Large,Less,Moderate,Good,No,MT3,Higher,Higher,Self-employed,Education,Yes,Yes,Group,2 - 5,No,Yes,10 - 30,Heavy,Non-drinker,5,3,3
18 - 20,Male,Malaysian,Alone,Urban,No,FOB,Diploma,Less than 1,Less than 40,Average,0,0,1,3,Yes,Yes,Close to home,Medium,Medium,None,Moderate,Moderate,No,MT3,Higher,Secondary,technician,Civil servant,No,No,Group,Less than 2,Yes,No,30 - 60,Heavy,Less,2,3,1
21 - 23,Female,Malaysian,Family,Urban,No,FOB,Bachelor's,1,Less than 40,Very Good,0,1,3,3,No,No,Close to home,Medium,Medium,Less,Moderate,Moderate,No,MT3,Higher,Higher,Education,Education,No,Yes,Group,Less than 2,No,No,30 - 60,Light,Non-drinker,3,4,3
24 - 26,Female,Malaysian,Friend or roommate,Urban,Yes,FOM,Bachelor's,2,40 - 70,Very Good,0,5,3,1,No,No,Course preference,Medium,Small,Sometimes,Good,Moderate,No,MT3,Secondary,Secondary,Don't know ,Unemployed,Yes,No,Group,2 - 5,Yes,Yes,Less than 10,Heavy,Non-drinker,2,3,4
21 - 23,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,Less than 1,Less than 40,Good,0,3,4,1,No,Yes,Other ppl recommend ,Small,Small,Sometimes,Moderate,Moderate,No,MT3,Higher,Higher,Salesman,Admin,Yes,Yes,Alone,Less than 2,No,Yes,30 - 60,Light,Less,3,3,3
21 - 23,Female,Malaysian,Friend or roommate,Urban,No,FOB,Bachelor's,2,40 - 70,Average,1 - 2,5,5,0,Yes,No,Course preference,Medium,Large,Less,Good,Good,No,MT3,Secondary,Secondary,swasta,housewife,Yes,Yes,Alone,Less than 2,Yes,No,Less than 10,Non-gamer,Non-drinker,2,2,2
18 - 20,Female,Malaysian,Friend or roommate,Urban,No,FCI,Diploma,2,40 - 70,Very Good,0,9,0,0,No,Yes,University reputation,Medium,Extra large,Sometimes,Moderate,Moderate,No,MT3,Secondary,Primary,Self-employed,Unemployed,Yes,Yes,Alone,Less than 2,No,No,30 - 60,Moderate,Less,3,4,3
18 - 20,Female,Malaysian,Family,Rural,No,FOB,Bachelor's,Less than 1,Less than 40,Good,0,7,3,0,No,Yes,Close to home,Medium,Medium,None,Poor,Moderate,No,MT3,Secondary,Secondary,Self-employed,Unemployed,No,No,Alone,2 - 5,No,No,30 - 60,Non-gamer,Non-drinker,2,2,4
24 - 26,Female,Malaysian,Family,Urban,Yes,FOL,Bachelor's,More than 4,More than 100,Average,3 - 4,3,5,0,No,Yes,Course preference,Extra large,Medium,Less,Moderate,Moderate,No,MT3,Higher,Higher,Architect,Human Resource Manager,Yes,Yes,Alone,2 - 5,No,No,Less than 10,Non-gamer,Non-drinker,3,1,1
24 - 26,Male,Malaysian,Family,Urban,No,FIST,Bachelor's,3,More than 100,Good,3 - 4,9,0,0,Yes,No,Close to home,Medium,Large,None,Good,Good,No,MT3,Secondary,Higher,Finance and banking,Civil servant,No,Yes,Alone,Less than 2,No,No,Less than 10,Heavy,Non-drinker,5,3,3
21 - 23,Female,Malaysian,Alone,Urban,No,FOL,Foundation,4,More than 100,Good,0,8,1,0,Yes,No,Course preference,Large,Large,Sometimes,Moderate,Moderate,Yes,MT3,Primary,Primary,Education,Finance and banking,No,Yes,Alone,More than 8,Yes,Yes,Less than 10,Non-gamer,Non-drinker,1,1,3
21 - 23,Female,Malaysian,Friend or roommate,Urban,No,FCI,Bachelor's,3,More than 100,Very Good,0,3,3,3,No,Yes,Course preference,Medium,Large,Less,Moderate,Good,No,MT3,Higher,Higher,Education,Finance and banking,No,Yes,Alone,2 - 5,No,No,10 - 30,Moderate,Non-drinker,1,3,2
21 - 23,Male,Malaysian,Friend or roommate,Urban,Yes,FIST,Bachelor's,3,40 - 70,Good,3 - 4,6,1,3,No,No,Close to home,Medium,Large,Sometimes,Moderate,Moderate,No,MT3,Primary,Secondary,Warehouse manager something like that,Warehouse worker something like that ,No,Yes,Alone,Less than 2,No,No,10 - 30,Light,Sometimes,3,1,1
24 - 26,Male,Non-Malaysian,Friend or roommate,Urban,No,FIST,Bachelor's,2,40 - 70,Good,0,3,4,0,No,No,University reputation,Extra large,Medium,None,Good,Moderate,Yes,MT3,Higher,Higher,Civil servant,Unemployed,No,Yes,Alone,Less than 2,No,No,Less than 10,Non-gamer,Non-drinker,3,1,2
21 - 23,Male,Malaysian,Family,Urban,No,FOM,Bachelor's,3,More than 100,Very Good,0,4,2,1,No,No,Course preference,Medium,Medium,Sometimes,Moderate,Good,No,MT3,Higher,Higher,Civil servant,Education,No,Yes,Alone,Less than 2,Yes,No,30 - 60,Heavy,Non-drinker,5,3,3
21 - 23,Male,Malaysian,Family,Rural,No,FCM,Bachelor's,3,More than 100,Very Good,1 - 2,3,3,3,No,Yes,Course preference,Small,Medium,None,Moderate,Moderate,Yes,MT3,Higher,Higher,Civil servant,Marketing,No,Yes,Alone,5 - 8,Yes,Yes,10 - 30,Moderate,Non-drinker,5,3,1
21 - 23,Female,Malaysian,Family,Urban,No,FAC,Bachelor's,3,71 - 100,Very Good,0,2,4,2,No,Yes,Close to home,Medium,Medium,None,Good,Moderate,No,MT3,Higher,Higher,Healthcare,Secretary,No,Yes,Alone,5 - 8,Yes,No,10 - 30,Non-gamer,Non-drinker,4,5,4
21 - 23,Male,Malaysian,Family,Urban,No,FIST,Bachelor's,4,71 - 100,Very Good,0,3,3,0,No,Yes,Course preference,Large,Medium,Less,Moderate,Moderate,No,LE3,Secondary,Secondary,Retired,Unemployed,No,Yes,Alone,Less than 2,Yes,Yes,10 - 30,Moderate,Non-drinker,3,3,4
24 - 26,Female,Malaysian,Alone,Urban,Yes,FOM,Bachelor's,3,71 - 100,Very Good,0,10,0,0,Yes,Yes,Course preference,Medium,Small,Less,Poor,Poor,Yes,MT3,Secondary,Secondary,Security ,Education,Yes,No,Alone,Less than 2,Yes,No,Less than 10,Non-gamer,Non-drinker,3,3,3
24 - 26,Female,Malaysian,Family,Urban,Yes,FCI,Bachelor's,3,More than 100,Very Good,1 - 2,2,2,3,No,Yes,Close to home,Medium,Medium,Less,Moderate,Moderate,No,MT3,Secondary,Secondary,Self-employed,Self-employed,No,Yes,Alone,Less than 2,No,Yes,10 - 30,Moderate,Non-drinker,3,3,2
21 - 23,Female,Malaysian,Alone,Urban,Yes,FCA,Bachelor's,3,71 - 100,Very Good,0,5,3,1,Yes,No,Course preference,Medium,Small,Less,Good,Poor,Yes,MT3,Higher,Higher,Finance and banking,Education,Yes,Yes,Group,2 - 5,Yes,No,Less than 10,Moderate,Non-drinker,3,4,3
21 - 23,Male,Malaysian,Friend or roommate,Urban,No,FCI,Bachelor's,3,More than 100,Good,1 - 2,2,5,1,No,Yes,Course preference,Medium,Medium,None,Good,Moderate,No,MT3,Primary,Primary,Retired,Housewife,No,Yes,Group,2 - 5,No,No,10 - 30,Light,Non-drinker,2,4,3
21 - 23,Female,Malaysian,Friend or roommate,Urban,Yes,FOL,Bachelor's,4,More than 100,Very Good,0,11,0,0,Yes,Yes,CLP exemption ,Extra large,Small,Less,Moderate,Moderate,No,MT3,Higher,Higher,Corporate worker,Corporate worker,No,Yes,Alone,2 - 5,Yes,Yes,Less than 10,Non-gamer,Less,1,4,4
21 - 23,Female,Malaysian,Alone,Urban,No,FOL,Bachelor's,3,More than 100,Good,0,6,5,0,No,Yes,Course preference,Large,Medium,Less,Poor,Poor,Yes,MT3,Secondary,Secondary,Unemployed,Unemployed,No,Yes,Alone,Less than 2,No,Yes,Less than 10,Non-gamer,Non-drinker,4,2,2
21 - 23,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,3,More than 100,Good,1 - 2,5,3,1,No,Yes,Course preference,Large,Large,Less,Moderate,Moderate,No,MT3,Higher,Higher,Unemployed,Unemployed,Yes,Yes,Group,Less than 2,No,No,More than 60,Moderate,Less,2,2,3
21 - 23,Female,Non-Malaysian,Family,Urban,No,FCM,Bachelor's,3,71 - 100,Good,0,0,0,0,No,No,University reputation,Small,Medium,None,Moderate,Moderate,No,MT3,Higher,Secondary,An engineer in an oil company ,Unemployed,No,No,Group,5 - 8,No,No,10 - 30,Moderate,Non-drinker,1,2,1
21 - 23,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,3,More than 100,Very Good,0,8,1,0,Yes,No,Close to home,Large,Medium,Sometimes,Moderate,Poor,No,MT3,Higher,Secondary,Retired,Unemployed,No,Yes,Group,Less than 2,Yes,No,Less than 10,Moderate,Non-drinker,5,5,5
21 - 23,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,3,More than 100,Very Good,0,4,5,0,No,No,University reputation,Medium,Medium,Sometimes,Good,Good,Yes,MT3,Higher,Higher,Education,Healthcare,No,Yes,Group,Less than 2,Yes,No,30 - 60,Moderate,Non-drinker,4,4,4
21 - 23,Female,Malaysian,Friend or roommate,Urban,Yes,FOL,Bachelor's,4,71 - 100,Good,0,4,3,3,No,Yes,Course preference,Medium,Medium,Sometimes,Poor,Moderate,No,MT3,Secondary,Secondary,Self-employed,Self-employed,Yes,Yes,Alone,2 - 5,Yes,No,Less than 10,Moderate,Non-drinker,2,3,4
21 - 23,Female,Malaysian,Family,Urban,No,FIST,Bachelor's,3,More than 100,Very Good,0,9,0,0,No,Yes,Close to home,Medium,Medium,Less,Moderate,Moderate,No,MT3,Secondary,Higher,Librarian,Education,No,Yes,Alone,2 - 5,No,No,10 - 30,Light,Non-drinker,3,3,3
21 - 23,Male,Malaysian,Family,Urban,No,FET,Bachelor's,4,More than 100,Good,0,5,4,0,No,No,Course preference,Medium,Medium,None,Good,Good,No,MT3,Higher,Higher,Education,Education,No,Yes,Group,2 - 5,Yes,Yes,10 - 30,Non-gamer,Non-drinker,4,4,4
21 - 23,Male,Malaysian,Friend or roommate,Urban,No,FCM,Bachelor's,2,71 - 100,Good,0,3,4,1,Yes,No,Course preference,Small,Small,Sometimes,Moderate,Good,No,MT3,Secondary,Secondary,Unemployed,Unemployed,Yes,Yes,Alone,2 - 5,Yes,No,Less than 10,Moderate,Non-drinker,5,5,5
21 - 23,Female,Malaysian,Friend or roommate,Urban,No,FCM,Bachelor's,3,More than 100,Good,0,6,4,1,No,Yes,Course preference,Medium,Large,Less,Moderate,Moderate,No,MT3,Secondary,Higher,Self-employed,Unemployed,Yes,Yes,Group,2 - 5,Yes,No,Less than 10,Light,Less,2,3,3
21 - 23,Female,Malaysian,Family,Urban,Yes,FCI,Bachelor's,3,71 - 100,Very Good,0,10,1,0,Yes,No,Course preference,Large,Large,Less,Good,Moderate,No,LE3,Secondary,Secondary,Civil servant,Unemployed,No,Yes,Alone,Less than 2,Yes,Yes,10 - 30,Moderate,Less,3,4,5
24 - 26,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,3,71 - 100,Average,1 - 2,2,2,3,No,Yes,Course preference,Large,Medium,None,Good,Good,No,MT3,Secondary,Secondary,Self-employed,Unemployed,No,Yes,Alone,2 - 5,Yes,Yes,30 - 60,Moderate,Non-drinker,3,3,2
